title,published_date,article_url,source,category,summary
Antisemitism royal commission to report later than planned,2026-09-03T07:56:32Z,https://www.sbs.com.au/news/article/antisemitism-royal-commission-to-report-later-than-planned/t4i0il7vt,SBS News – Australia RSS,Politics,Commissioner Virginia Bell said she was responding to concerns from within the Jewish community.
Kids are being dragged down a troubling 'rabbit hole'. What happens if we switch it off?,2026-09-03T06:44:49Z,https://www.sbs.com.au/news/article/manosphere-algorithm-opt-out-social-media-misogyny/xtuz3i62s,SBS News – Australia RSS,Australia,A proposal to fundamentally change how Australians experience social media is gaining traction.
'Enormous interest': Coalition says exiled crown prince of Iran will visit Australia,2026-09-03T04:05:54Z,https://www.sbs.com.au/news/article/enormous-interest-coalition-says-exiled-crown-prince-of-iran-will-visit-australia/nxd2nb6h7,SBS News – Australia RSS,Politics; Australia,The Coalition says Reza Pahlavi has accepted the party's invitation.
Coalition plan to hit 'gangs where it hurts' would slash tobacco tax and legalise vapes,2026-09-02T23:57:41Z,https://www.sbs.com.au/news/article/tobacco-tax-coalition-legal-vapes-policy/4yv7egraj,SBS News – Australia RSS,Australia,The Opposition has unveiled its plan to tackle the sale of illegal tobacco amid the rise of organised crime sales.
Missing Australians in Nepal to be pinpointed using telco data,2026-09-02T20:52:46Z,https://www.sbs.com.au/news/article/australias-nepali-community-faces-anxious-wait-for-answers-over-flood-disaster/6irgi7qe8,SBS News – Australia RSS,Australia; World,Foreign Affairs Minister Penny Wong said the data would help rescuers refine their search.
Australians will lose free access to this vaccine. Here's what it could cost,2026-09-02T19:32:57Z,https://www.sbs.com.au/news/article/what-will-a-covid-vaccine-cost-under-australias-new-rules/c38zeuiem,SBS News – Australia RSS,Health; COVID-19; Australia,Some Australians may soon face a new health bill under changes taking effect soon.
"With falls accelerating, how far could Australia's property market drop?",2026-09-02T19:32:35Z,https://www.sbs.com.au/news/article/how-far-could-australian-property-prices-fall/r33flk97a,SBS News – Australia RSS,Australia; Finance,"Prices are now falling in most capital-city suburbs, but the key question is how much further the downturn has to run."
'Didn’t think twice': The routine activity that sent Robert to the emergency department,2026-09-02T05:58:07Z,https://www.sbs.com.au/news/article/didnt-think-twice-the-routine-activity-that-sent-robert-to-the-emergency-department/dapkm7izt,SBS News – Australia RSS,Australia; Health; Life,"Many people have no issue, but the consequences can be severe for people who are more vulnerable."
The possible cost of Australia's stronger-than-expected growth,2026-09-02T04:41:57Z,https://www.sbs.com.au/news/article/australia-gdp-growth-economy-rba-interest-rates-pressure/61iypio6x,SBS News – Australia RSS,Politics; Australia,Australia's stronger GDP figures could complicate the Reserve Bank's next interest rate decision.
Revealed: The failures behind Telstra's major network outage,2026-09-02T02:25:55Z,https://www.sbs.com.au/news/article/revealed-the-failures-behind-telstras-major-network-outage/n9y4ezgvh,SBS News – Australia RSS,Australia,Telstra has been in the regulatory microscope since a major outage in July created chaos across the country.
The 'harmful' online rabbit hole finding teens within minutes,2026-09-01T21:18:38Z,https://www.sbs.com.au/news/article/teach-us-consent-national-press-club-manosphere/tki4accvj,SBS News – Australia RSS,Australia,Teach Us Consent founder Chanel Contos is urging for an end to default algorithmic feeds to protect teenage boys online.
I was told I was born with bad genes. I believed it and ended up in jail at 14,2026-09-01T19:38:01Z,https://www.sbs.com.au/news/insight/article/i-was-told-i-was-born-with-bad-genes-i-believed-it-and-ended-up-in-jail-at-14/4d50matzq,SBS News – Australia RSS,Life,"Growing up, Sandie felt like an outsider and acted out. It wasn’t until later in life that she realised she wasn’t ""bad""."
The COVID trend Australia wasn't expecting this winter,2026-09-01T19:33:12Z,https://www.sbs.com.au/news/article/no-peak-australia-bucks-a-years-long-winter-sickness-trend/j0lnzhkp3,SBS News – Australia RSS,Health; Australia; COVID-19,Australia's winter COVID season hasn't followed the script. Here's what the numbers show.
Who can still get a free COVID vaccine? Australia's new rules explained,2026-09-01T04:59:12Z,https://www.sbs.com.au/news/article/australia-covid-vaccine-changes-free-shots-limited-high-risk-groups/0r5r7urrl,SBS News – Australia RSS,Australia; Health; COVID-19,"As COVID vaccine access changes, experts warn against drawing the wrong conclusion."
SBS confirmed as Australia's home of the 2030 FIFA World Cup,2026-09-01T02:46:20Z,https://www.sbs.com.au/news/article/sbs-confirmed-as-australias-home-of-the-2030-fifa-world-cup/6p9kbuge1,SBS News – Australia RSS,Australia; Sport,Football-loving Australians will have access to all 104 matches of the landmark tournament live and free with SBS.
AusPost boss reveals future of letter deliveries a‌mid stamp price warning,2026-08-31T19:35:37Z,https://www.sbs.com.au/news/article/auspost-reveals-future-of-letter-delivery-amid-stamp-price-warning/nmcejadxz,SBS News – Australia RSS,Australia; Finance,"With letter volumes falling fast, Australia Post is weighing how mail delivery evolves in the years ahead."
A new proposal to limit our scrolling has a precedent. But would it work?,2026-08-31T06:29:58Z,https://www.sbs.com.au/news/article/a-new-proposal-to-limit-our-scrolling-has-a-precedent-but-would-it-work/cjfnif4ds,SBS News – Australia RSS,Australia; Politics,"Australia is considering copying Europe's playbook on limiting addictive social media feeds, but the results are mixed."
